strategy,tier,seconds
tap-only,1,0
merge-greedy,1,0
merge-greedy,2,4
merge-greedy,3,9
merge-greedy,4,13
merge-greedy,5,22
merge-greedy,6,39
merge-greedy,7,55
merge-greedy,8,72
merge-greedy,9,89
merge-greedy,10,105
merge-greedy,11,122
merge-greedy,12,138
merge-greedy,13,155
merge-greedy,14,171
merge-greedy,15,188
merge-greedy,16,204
merge-greedy,17,221
merge-greedy,18,237
merge-greedy,19,254
merge-greedy,20,270
merge-greedy,21,287
merge-greedy,22,303
merge-greedy,23,320
merge-greedy,24,336
merge-greedy,25,353
merge-greedy,26,369
merge-greedy,27,386
merge-greedy,28,402
merge-greedy,29,419
merge-greedy,30,435
merge-greedy,prestige,435
passive-first,1,0
passive-first,2,14
passive-first,3,25
passive-first,4,34
passive-first,5,48
passive-first,6,84
passive-first,7,101
passive-first,8,118
passive-first,9,135
passive-first,10,151
passive-first,11,168
passive-first,12,184
passive-first,13,201
passive-first,14,217
passive-first,15,234
passive-first,16,250
passive-first,17,267
passive-first,18,283
passive-first,19,300
passive-first,20,316
passive-first,21,333
passive-first,22,349
passive-first,23,366
passive-first,24,382
passive-first,25,399
passive-first,26,415
passive-first,27,432
passive-first,28,448
passive-first,29,465
passive-first,30,481
passive-first,prestige,481
