seccion,clave,valor,unidad
piso,urban_activo,0.8,min
piso,urban_pared,0.01,h
piso,corporate_activo,3.6,min
piso,corporate_pared,0.06,h
piso,luxury_activo,25.7,min
piso,luxury_pared,4.10,h
piso,island_activo,58.0,min
piso,island_pared,9.30,h
piso,moon_activo,75.5,min
piso,moon_pared,14.26,h
piso,mars_activo,87.4,min
piso,mars_pared,24.12,h
piso,solar_activo,106.1,min
piso,solar_pared,28.10,h
piso,galaxy_activo,127.8,min
piso,galaxy_pared,33.13,h
piso,cosmic_activo,140.0,min
piso,cosmic_pared,33.33,h
piso,god_realm_activo,155.1,min
piso,god_realm_pared,38.25,h
hito,reencarnaciones,17,conteo
hito,primera_reencarnacion,0.14,h
hito,dios,38.25,h
hito,max_tier_final,30,tier
hito,lifetime_earnings,5.5958e+22,monedas
knob,hire_defaultCostGrowth,1.2,
knob,hire_defaultCostMultiplier,300.0,
knob,offlineEfficiencyBase,0.35,
knob,oro_divisor,3000000.0,
knob,oro_globalMultiplierPerOro,0.12,
knob,yieldGrowthPerTier,2.8,
knob,alley_hireCostMultiplier,50.0,
