strategy,tier,seconds
tap-only,1,0
merge-greedy,1,0
merge-greedy,2,16
merge-greedy,3,26
merge-greedy,4,32
merge-greedy,5,41
merge-greedy,6,58
merge-greedy,7,74
merge-greedy,8,91
merge-greedy,9,108
merge-greedy,10,124
merge-greedy,11,140
merge-greedy,12,158
merge-greedy,13,185
merge-greedy,14,221
merge-greedy,15,272
merge-greedy,16,342
merge-greedy,17,443
merge-greedy,18,583
merge-greedy,19,780
merge-greedy,20,1058
merge-greedy,21,1454
merge-greedy,22,2006
merge-greedy,23,2783
merge-greedy,24,3879
merge-greedy,25,5401
merge-greedy,26,7424
merge-greedy,27,10273
merge-greedy,28,14291
merge-greedy,29,19966
merge-greedy,30,27987
merge-greedy,prestige,27987
passive-first,1,0
passive-first,2,49
passive-first,3,78
passive-first,4,94
passive-first,5,107
passive-first,6,124
passive-first,7,140
passive-first,8,157
passive-first,9,179
passive-first,10,208
passive-first,11,247
passive-first,12,301
passive-first,13,376
passive-first,14,488
passive-first,15,639
passive-first,16,849
passive-first,17,1144
passive-first,18,1570
passive-first,19,2149
passive-first,20,2957
passive-first,21,4090
passive-first,22,5576
passive-first,23,7404
passive-first,24,9951
passive-first,25,13517
passive-first,26,18526
passive-first,27,25578
passive-first,28,35525
passive-first,29,49573
passive-first,30,69429
passive-first,prestige,69429
